antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'mashoor'}),frozenset({'shop__tailor'}),0.027777777777777776,0.12962962962962962,0.006944444444444444,0.25,1.9285714285714286,1.0,0.0033436213991769547,1.1604938271604939,0.49523809523809526,0.046153846153846156,0.13829787234042554,0.15178571428571427
frozenset({'quetta'}),frozenset({'amenity__cafe'}),0.011574074074074073,0.13425925925925927,0.011574074074074073,1.0,7.448275862068964,1.0,0.010020147462277092,inf,0.8758782201405152,0.08620689655172413,1.0,0.5431034482758621
"frozenset({'quetta', 'tea'})",frozenset({'amenity__cafe'}),0.011574074074074073,0.13425925925925927,0.011574074074074073,1.0,7.448275862068964,1.0,0.010020147462277092,inf,0.8758782201405152,0.08620689655172413,1.0,0.5431034482758621
frozenset({'quetta'}),"frozenset({'amenity__cafe', 'tea'})",0.011574074074074073,0.04089506172839506,0.011574074074074073,1.0,24.452830188679243,1.0,0.011100751600365798,inf,0.970335675253708,0.2830188679245283,1.0,0.6415094339622641
frozenset({'tea'}),"frozenset({'quetta', 'amenity__cafe'})",0.04089506172839506,0.011574074074074073,0.011574074074074073,0.2830188679245283,24.452830188679247,1.0,0.011100751600365798,1.3785940545808966,1.0,0.2830188679245283,0.2746233043170872,0.6415094339622641
"frozenset({'quetta', 'main'})",frozenset({'amenity__cafe'}),0.008487654320987654,0.13425925925925927,0.008487654320987654,1.0,7.448275862068964,1.0,0.0073481081390032,inf,0.8731517509727627,0.0632183908045977,1.0,0.5316091954022989
frozenset({'quetta'}),"frozenset({'amenity__cafe', 'main'})",0.011574074074074073,0.044753086419753084,0.008487654320987654,0.7333333333333333,16.386206896551723,1.0,0.007969678783721993,3.582175925925925,0.9499680647221629,0.17741935483870966,0.7208400646203553,0.46149425287356316
"frozenset({'quetta', 'tea', 'main'})",frozenset({'amenity__cafe'}),0.008487654320987654,0.13425925925925927,0.008487654320987654,1.0,7.448275862068964,1.0,0.0073481081390032,inf,0.8731517509727627,0.0632183908045977,1.0,0.5316091954022989
"frozenset({'quetta', 'tea'})","frozenset({'amenity__cafe', 'main'})",0.011574074074074073,0.044753086419753084,0.008487654320987654,0.7333333333333333,16.386206896551723,1.0,0.007969678783721993,3.582175925925925,0.9499680647221629,0.17741935483870966,0.7208400646203553,0.46149425287356316
"frozenset({'quetta', 'main'})","frozenset({'amenity__cafe', 'tea'})",0.008487654320987654,0.04089506172839506,0.008487654320987654,1.0,24.452830188679243,1.0,0.008140551173601584,inf,0.9673151750972762,0.20754716981132074,1.0,0.6037735849056604
"frozenset({'tea', 'main'})","frozenset({'quetta', 'amenity__cafe'})",0.010802469135802469,0.011574074074074073,0.008487654320987654,0.7857142857142857,67.88571428571429,1.0,0.008362625743026977,4.612654320987654,0.9960289320663737,0.6111111111111112,0.7832050853128136,0.7595238095238095
frozenset({'quetta'}),"frozenset({'amenity__cafe', 'tea', 'main'})",0.011574074074074073,0.010802469135802469,0.008487654320987654,0.7333333333333333,67.88571428571429,1.0,0.008362625743026977,3.70949074074074,0.9968064722163081,0.6111111111111112,0.7304212168486739,0.7595238095238095
